6029 	 8326
4317 	 12211
136 	 19129
136 	 136
659 	 3639
8944 	 14585
8944 	 19634
4509 	 4509
4572 	 13734
4572 	 16811
13098 	 3010
1224 	 8448
1082 	 13846
2335 	 13846
4287 	 2843
1458 	 6922
771 	 2091
659 	 2091
3576 	 13943
20251 	 2840
5840 	 1331
20251 	 1331
5840 	 2840
4317 	 18298
4317 	 1776
4317 	 18321
4378 	 265
1082 	 6162
1082 	 12754
4223 	 17335
4509 	 17792
4378 	 10065
3164 	 9716
3370 	 16476
3370 	 13943
3262 	 16811
4742 	 2670
8944 	 16978
659 	 10065
4739 	 8741
18044 	 8741
3874 	 8741
3874 	 16811
18044 	 16811
2335 	 1789
3168 	 2252
136 	 11201
655 	 19185
136 	 13761
13098 	 8216
136 	 18063
4223 	 2067
13098 	 11201
4317 	 19052
4317 	 18063
136 	 15846
4378 	 19623
2400 	 6100
2400 	 9572
1082 	 1789
227 	 8852
227 	 6264
4317 	 9360
3168 	 2808
2400 	 2840
2400 	 18203
4378 	 19365
227 	 3856
4742 	 3199
3370 	 20066
659 	 18298
13098 	 7251
136 	 19052
20252 	 1331
659 	 14012
136 	 6162
13098 	 13463
1458 	 5637
5840 	 5661
20252 	 2840
1224 	 6326
1456 	 8741
3169 	 8741
8944 	 13563
2400 	 1331
4378 	 6796
3910 	 10645
4372 	 13734
3260 	 417
1224 	 8541
5840 	 1873
5840 	 17008
4572 	 8741
224 	 5865
14499 	 17223
4572 	 6162
17391 	 18063
17391 	 18203
17391 	 2840
224 	 4567
4509 	 18130
1226 	 16811
20251 	 5803
4378 	 9516
1082 	 13988
1456 	 7764
4223 	 18063
13098 	 1819
3370 	 19628
136 	 19628
2545 	 14563
3910 	 15767
4378 	 6250
771 	 12425
2335 	 19132
18074 	 17301
136 	 2430
136 	 17792
3874 	 11923
4114 	 8952
659 	 10066
6766 	 9162
4223 	 5339
3169 	 10324
4223 	 2840
20252 	 5491
4742 	 6250
136 	 19031
20252 	 19052
4317 	 2379
70 	 18063
3576 	 6326
4223 	 19052
4509 	 6029
136 	 16260
2625 	 518
18044 	 11923
4316 	 10504
4742 	 19216
3697 	 11923
5840 	 1085
4572 	 3033
18074 	 2223
4742 	 16067
4317 	 14567
136 	 11485
70 	 2840
70 	 19052
19570 	 10065
6766 	 1032
7637 	 14312
4739 	 11060
18044 	 16962
659 	 16978
6766 	 10502
4317 	 2127
1458 	 16985
1226 	 17008
4378 	 2234
18078 	 13734
227 	 6506
3910 	 7764
4742 	 16497
6766 	 12742
17391 	 938
17391 	 5897
659 	 16555
4742 	 4270
13098 	 10756
4739 	 19052
3910 	 8735
659 	 13777
2400 	 2483
2400 	 14627
2852 	 12311
136 	 19132
1010 	 7980
2517 	 2840
4509 	 12892
4742 	 274
4525 	 3436
1226 	 6162
6938 	 16699
4742 	 6255
4742 	 9716
4742 	 8880
7637 	 15659
14705 	 8741
3874 	 16555
3260 	 14040
3260 	 16514
3260 	 11201
19940 	 5865
135 	 3219
4378 	 11961
2517 	 3015
3370 	 12085
5840 	 601
2334 	 8454
2334 	 10392
2334 	 14316
136 	 16384
6766 	 16699
3697 	 10921
1226 	 19274
3910 	 13458
1458 	 13458
4223 	 6084
4223 	 5290
224 	 5290
1458 	 2190
2517 	 5290
1226 	 4060
4525 	 4060
135 	 4060
18044 	 9716
18230 	 19634
4378 	 7692
2335 	 11060
2335 	 16384
1224 	 12946
4317 	 8127
4317 	 20295
3576 	 15177
4378 	 13255
13098 	 7405
13098 	 16514
13098 	 14040
13098 	 17931
13098 	 4182
13098 	 5433
13098 	 10273
13098 	 4270
1224 	 8669
4223 	 1506
13098 	 1506
3910 	 2840
2517 	 5041
2517 	 9200
2852 	 13407
20252 	 4482
4378 	 4482
2517 	 14116
18074 	 5290
1010 	 6806
2852 	 7501
935 	 8741
4742 	 9358
4742 	 9360
18074 	 7315
1010 	 13734
935 	 13734
5840 	 10590
4742 	 19706
4739 	 13407
13098 	 6162
227 	 13571
659 	 8162
656 	 9020
137 	 13248
659 	 7752
4739 	 6162
2852 	 7980
2334 	 17792
18180 	 18146
1226 	 12924
1226 	 14125
1226 	 19132
3576 	 12861
18074 	 16384
18074 	 18761
1224 	 5290
13098 	 17792
4378 	 10753
4378 	 344
4378 	 4872
4742 	 16919
4319 	 3010
18074 	 11390
1226 	 13486
4742 	 6024
1226 	 6617
1226 	 5639
4742 	 12004
658 	 7023
1226 	 13455
4378 	 12450
2517 	 9345
2334 	 13561
4742 	 6101
3576 	 6308
1226 	 6308
2334 	 7764
4742 	 7764
4742 	 5344
4742 	 12133
659 	 5491
3697 	 12644
2852 	 13844
658 	 10590
4742 	 7163
4742 	 12678
4378 	 13328
2517 	 13352
2334 	 10645
1226 	 13734
2852 	 13734
4742 	 13734
4742 	 10660
4223 	 14040
2517 	 14040
4742 	 14040
4742 	 17339
4742 	 13888
659 	 16682
4378 	 16682
4378 	 10222
659 	 17382
1226 	 18787
4378 	 12887
4378 	 14956
4378 	 12978
4742 	 14567
4378 	 16915
2334 	 13074
2852 	 12934
4223 	 19731
4742 	 19731
